,VH_20170401,VH_20170408,VH_20170415,VH_20170422,VH_20170429,VH_20170506,VH_20170513,VH_20170520,VH_20170527,VH_20170603,VH_20170610,VH_20170617,VH_20170624,VH_20170701,VH_20170708,VH_20170715,VH_20170722,VV_20170401,VV_20170408,VV_20170415,VV_20170422,VV_20170429,VV_20170506,VV_20170513,VV_20170520,VV_20170527,VV_20170603,VV_20170610,VV_20170617,VV_20170624,VV_20170701,VV_20170708,VV_20170715,VV_20170722,area,gws_gewas,gws_gewasc,id,.geo
00017375a6e114db9e02,0.012035679727895841,0.01145087209492653,0.009307423601861441,0.00821122561419847,0.008241235950737509,0.014164020207347939,0.011665307095067077,0.010215542537294574,0.008010133891504841,0.009333189691574179,0.00980520348525284,0.011833606683340731,0.014559092757249464,0.010111429494195757,0.010846146831763923,0.010228231202833182,0.013355637078567607,0.045859102942972345,0.03941158562865232,0.03308407869682039,0.03052687484514794,0.022312257480330316,0.03521225541387253,0.039319948695996185,0.028889772185799946,0.027714028713026577,0.0357458802253707,0.030454716842614145,0.04279688676826287,0.050260890120056224,0.0348564140316244,0.03700451420655646,0.03368841630026842,0.04769413458989724,44341.45048933463,"Grasland, blijvend",265,00017375a6e114db9e02,
0001cc15a0e9514f6151,0.012258318090500184,0.010697564993643114,0.008087986299382843,0.008565904633192973,0.008121825256950158,0.00737797393636612,0.01640905874975418,0.0159604613455062,0.012449573692177278,0.010827509622402004,0.00996314975038959,0.012180352053459251,0.014724668124021666,0.011729787598422166,0.01218151734493149,0.012220543086501716,0.01432923332411586,0.03723963140707468,0.03436719046136811,0.03118466204119517,0.02814154135692246,0.02243883269312767,0.021487984374519837,0.04848131848792663,0.04256072987914246,0.03515457342524879,0.03293396997431783,0.03934914190627157,0.04986583308023523,0.04820464491440624,0.03872781052876309,0.03863014705293473,0.03877154683139511,0.04542555220142829,28241.449007960593,"Grasland, blijvend",265,0001cc15a0e9514f6151,
0001c17a22693b3eabeb,0.009153094207000393,0.008845644223069216,0.010109468925028186,0.012818267431907249,0.014892081865365961,0.014962931251010135,0.014033052201057047,0.011167522423426187,0.010172898903091913,0.011574632780239411,0.011210785767075905,0.01178552934117453,0.017172068100095535,0.011764723098508217,0.01286731587762882,0.013321189870856051,0.015116164949957496,0.029561488120021746,0.029732284618807586,0.034439288780769,0.03913287119449363,0.03865699517807753,0.03886119295939091,0.04434373231431953,0.032252484484221466,0.030977904696680526,0.04186523562301841,0.03621312249945049,0.044709421220046175,0.0511415768610238,0.039046486660823485,0.03843335331869025,0.04593658801579947,0.04963140379649998,61201.62264072162,"Grasland, blijvend",265,0001c17a22693b3eabeb,
00013368f489d6d8e54a,0.010978174935922317,0.010868341339155001,0.010038071393145886,0.011654652648720752,0.011122652776380967,0.009833928093529651,0.012422683202276717,0.010535349130124699,0.010147468265353114,0.014020410972554374,0.014334359111326132,0.016609432489042536,0.016465151024950345,0.013864534405907908,0.017109651457885337,0.01302399539374278,0.013991298940629483,0.03928398955374295,0.039684339922159306,0.028939026305279666,0.03354289468128191,0.03322961208880801,0.0315790856340914,0.03481031077985197,0.02978295602160858,0.024984474028649298,0.04338804783371288,0.034600732801629557,0.0650116385804164,0.0702870933248646,0.05965849725586372,0.06396122018546285,0.05304099248474111,0.06004993144499149,5523.728878318347,"Grasland, blijvend",265,00013368f489d6d8e54a,
000103387470adba6de1,0.008842188757846002,0.011596247865248278,0.011772026993230777,0.012217075298527013,0.012355704555518333,0.012795556459800954,0.011023202972137009,0.011101328603488453,0.011121235019333858,0.01370684646942057,0.013871490910640981,0.024665259832053955,0.028549030719163433,0.01721849749252966,0.022550732794825137,0.015329234726286134,0.015862420430406237,0.047281312037732115,0.04901650739906962,0.04473110051952039,0.0447926364391728,0.05784534095179842,0.039004223002750533,0.04301009641311193,0.03312818902628903,0.036969284705504396,0.04179094555640897,0.05005080814891221,0.09697147899578468,0.07952051617518476,0.06061747579687125,0.06696709735170445,0.053534811202955654,0.07161851279366374,5976.219600580572,"Grasland, natuurlijk. Areaal met een natuurbeheertype dat overwegend voor landbouwactiviteiten-GLB wordt gebruikt",336,000103387470adba6de1,
0001ffc085e12b5e4fa5,0.009530673768432352,0.011078647130254641,0.009214742292566075,0.010725396556683196,0.010284009281589866,0.01070570673227395,0.011702610196509158,0.011627144292998673,0.014379007121272056,0.012261119127003468,0.01077426541001904,0.013447454313813919,0.013778117658103219,0.010226086458671135,0.014593166574962697,0.012044842723246532,0.012061890022053212,0.0436715821758464,0.04395750164449156,0.03795549440980538,0.041646984219867865,0.03993752847127971,0.0360971814559678,0.037292728925823776,0.035499479660097824,0.04605284750100947,0.041160389709439596,0.044840735641246895,0.05976279079516823,0.05760862130923278,0.04158491707397497,0.04811621047351508,0.04675617976331739,0.04794764290506344,23233.782398617117,"Grasland, natuurlijk. Areaal met een natuurbeheertype dat overwegend voor landbouwactiviteiten-GLB wordt gebruikt",336,0001ffc085e12b5e4fa5,
0001a30d09dff0eef47f,0.01122576282493377,0.00922959441095489,0.0077684091831400955,0.008370922445095503,0.009157519263698018,0.012781268539351047,0.015060521174772292,0.011409650939078591,0.00918065575542928,0.008632287778613018,0.011067053658457861,0.015019556081582272,0.016240576936745254,0.011568021264627927,0.014381299045833396,0.014034043648593545,0.01531819672704665,0.043570708268861044,0.034275832328923124,0.02836928348039516,0.030127802869123154,0.0259396660467113,0.03398048640790859,0.04356933419273481,0.029127434798356187,0.027542954757107163,0.03247231075444568,0.03238543358333617,0.047131549099676914,0.04615808416758186,0.04174779607095115,0.0498351900126603,0.046172648024454366,0.054689540018670005,46338.49216935443,"Grasland, blijvend",265,0001a30d09dff0eef47f,
00013eef09bfc6379687,0.008714709709495175,0.011051535934982882,0.009146754078092227,0.010119104972514377,0.011139135168048592,0.009805299795080004,0.011902516875390236,0.012927590136440938,0.011749566079362903,0.010392997480201257,0.012124094784796277,0.012983878894665204,0.0157728465385581,0.011418972315772212,0.013505346308976932,0.012696812395045507,0.014877701732522447,0.05175622476433277,0.050529119395720794,0.04150494093075355,0.037123306202443536,0.03767290650581268,0.03564644814781159,0.03858765779405267,0.038129055813219466,0.042082185867181154,0.042076551273740964,0.04056066037935454,0.05474654703517851,0.054560645963959806,0.044063642325160864,0.05183471917894831,0.04832681740328393,0.05454269716145045,16338.90123561944,"Grasland, natuurlijk. Areaal met een natuurbeheertype dat overwegend voor landbouwactiviteiten-GLB wordt gebruikt",336,00013eef09bfc6379687,
0001b6ad2f3bf396aa41,0.009435881006062201,0.011193446677688429,0.009042398408596948,0.008635190285035588,0.008283371576429315,0.00967832716199489,0.01163094890088715,0.010512428757074402,0.012100966198155604,0.015249044197984727,0.01577552136066994,0.017845304774340716,0.01678218348763857,0.01020736706305834,0.011828468226396084,0.009667492790768707,0.012108983968541247,0.035374149141503046,0.0396685119455269,0.034493782802521376,0.032569850713250914,0.02643483269579613,0.028257082908063128,0.03796130859533986,0.03206692185357478,0.03724409798850545,0.05055240580392461,0.05757352537379597,0.06844586270077084,0.0571353905163859,0.03559405249214407,0.03632501923062673,0.0320403194517828,0.041968308982850255,35654.313518226896,"Grasland, blijvend",265,0001b6ad2f3bf396aa41,
0001af74fbc3e5e6d45a,0.007971407541967299,0.014995963513147312,0.010641203836548091,0.009270693579415575,0.007704650374724708,0.006490586480979382,0.00714652515070538,0.0054570117195814815,0.005628357558085045,0.008508421343737797,0.008499350568119506,0.01615868695237149,0.026355991398415664,0.022957350615241387,0.02498144331642837,0.024238594542054036,0.024846877288690793,0.06421362483460565,0.09879822342899601,0.07011194064406326,0.06205111276749678,0.04503952973706924,0.05399821895821169,0.059565983964004615,0.03805334116111328,0.037539264621875366,0.0512801567048926,0.0477448776991621,0.0892084977779736,0.12903822785691976,0.134836445438548,0.11822988956114194,0.11058938026525181,0.1096470978865093,38098.05828855923,"Ma�s, snij-",259,0001af74fbc3e5e6d45a,
